,year,infraction_code,street_address,count,fine_sum,fine_descrp,mean_hour,lat,lng,full_address,fine_amt
1501971,2011,250,1132 LESLIE ST,200,21000.0,PARK IN PARK NOT IN DESIG AREA,15.0,43.718644,-79.3505026,1132 Leslie St Toronto ON M3C Canada,105.0
1317148,2011,9,30 GREENFIELD AVE,350,21000.0,STOP HWY PROHIBITED TIME/DAY,16.0,43.7638825,-79.4105726,30 Greenfield Ave North York ON M2N 6N3 Canada,60.0
1493321,2011,210,33 ELMHURST AVE,700,21000.0,PARK FAIL TO DISPLAY RECEIPT,14.0,43.7624237,-79.4128298,33 Elmhurst Ave North York ON M2N 6G8 Canada,30.0
1337728,2011,15,6 SPRING GARDEN AVE,210,21000.0,PARK 3 M OF FIRE HYDRANT,15.0,43.7645273,-79.41070409999999,6 Spring Garden Ave North York ON M2N 7M2 Canada,100.0
1305269,2011,8,4968 YONGE ST,350,21000.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.7651528,-79.4122785,4968 Yonge St North York ON M2N 7H1 Canada,60.0
1337492,2011,15,56 THE ESPLANADE,210,21000.0,PARK 3 M OF FIRE HYDRANT,16.0,43.6471037,-79.3741972,56 The Esplanade Toronto ON M5E 1A6 Canada,100.0
1276630,2011,5,90 FRASER AVE,525,21000.0,PARK HWY PROHIBED TIME/DAY,16.0,43.6388228,-79.4251048,90 Fraser Ave Toronto ON M6K 3E1 Canada,40.0
1209914,2011,5,100 SIMCOE ST,524,20960.0,PARK HWY PROHIBED TIME/DAY,15.0,43.6483301,-79.38676679999999,100 Simcoe St Toronto ON M5H 1L2 Canada,40.0
1310347,2011,9,130 BLOOR ST W,349,20940.0,STOP HWY PROHIBITED TIME/DAY,13.0,43.6692112,-79.3926706,130 Bloor St W Toronto ON M5S 1N5 Canada,60.0
1326148,2011,9,ALBERT ST,349,20940.0,STOP HWY PROHIBITED TIME/DAY,13.0,43.6532393,-79.38133409999999,Albert St Toronto ON Canada,60.0
1240142,2011,5,279 SIMCOE ST,522,20880.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6554756,-79.3895288,279 Simcoe St Toronto ON M5G Canada,40.0
1304555,2011,8,38 ORCHARD VIEW BLVD,348,20880.0,STAND SIGN HWY PRO TIMES/DAYS,13.0,43.7082651,-79.39959929999999,38 Orchard View Blvd Toronto ON M4P 2W7 Canada,60.0
1461218,2011,82,33 HAZELTON AVE,520,20800.0,PARK-PASSENGER/FREIGHT LOADING,15.0,43.67173529999999,-79.3931906,33 Hazelton Ave Toronto ON M5R 2E3 Canada,40.0
1315851,2011,9,25 BRANT ST,346,20760.0,STOP HWY PROHIBITED TIME/DAY,18.0,43.6458924,-79.3976862,25 Brant St Toronto ON M5V 2L9 Canada,60.0
1519806,2011,347,605 ROGERS RD,83,20750.0,PARK IN A FIRE ROUTE,14.0,43.6816428,-79.47352649999999,605 Rogers Rd York ON M6M 1B9 Canada,250.0
1310930,2011,9,140 YORKVILLE AVE,345,20700.0,STOP HWY PROHIBITED TIME/DAY,15.0,43.67077339999999,-79.3943066,140 Yorkville Ave Toronto ON M5R 1C2 Canada,60.0
1520730,2011,355,1700 WILSON AVE,46,20700.0,PARK IN DISABLED NO PERMIT,15.0,43.72125920000001,-79.51199199999999,1700 Wilson Ave North York ON M3L 1A3 Canada,450.0
1520413,2011,355,1 AVONDALE AVE,46,20700.0,PARK IN DISABLED NO PERMIT,14.0,43.7579956,-79.4095937,1 Avondale Ave Toronto ON M2N 7J1 Canada,450.0
1206137,2011,3,840 COXWELL AVE,690,20700.0,PARK/LEAVE ON PRIVATE PROPERTY,13.0,43.6900163,-79.3271038,840 Coxwell Ave East York ON M4C 5T2 Canada,30.0
1237059,2011,5,25 HAYDEN ST,517,20680.0,PARK HWY PROHIBED TIME/DAY,15.0,43.6694839,-79.38550459999999,25 Hayden St Toronto ON M4Y 2P2 Canada,40.0
1311429,2011,9,150 EGLINTON AVE E,344,20640.0,STOP HWY PROHIBITED TIME/DAY,11.0,43.7078909,-79.394018,150 Eglinton Ave E Toronto ON M4P Canada,60.0
1204694,2011,3,67 SHUTER ST,687,20610.0,PARK/LEAVE ON PRIVATE PROPERTY,13.0,43.6547492,-79.37592219999999,67 Shuter St Toronto ON M5B 1B2 Canada,30.0
1218475,2011,5,1369 ST CLAIR AVE W,514,20560.0,PARK HWY PROHIBED TIME/DAY,17.0,43.6757354,-79.45223800000001,1369 St Clair Ave W Toronto ON M6E 1C5 Canada,40.0
1322668,2011,9,655 BAY ST,342,20520.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.6577732,-79.3841429,655 Bay St Toronto ON M5G 2K4 Canada,60.0
1271877,2011,5,77 KING ST W,512,20480.0,PARK HWY PROHIBED TIME/DAY,11.0,43.6478979,-79.3820355,77 King St W Toronto ON M5K 2A1 Canada,40.0
1201467,2011,3,4256 BATHURST ST,682,20460.0,PARK/LEAVE ON PRIVATE PROPERTY,12.0,43.751152,-79.4378043,4256 Bathurst St North York ON M3H 5Y8 Canada,30.0
1244492,2011,5,317 ADELAIDE ST W,510,20400.0,PARK HWY PROHIBED TIME/DAY,13.0,43.64719789999999,-79.3923999,317 Adelaide St W Toronto ON M5V 1P9 Canada,40.0
1236150,2011,5,2400 YONGE ST,509,20360.0,PARK HWY PROHIBED TIME/DAY,17.0,43.7100033,-79.3994749,2400 Yonge St Toronto ON M4P 2H4 Canada,40.0
1199763,2011,3,3401 DUFFERIN ST,676,20280.0,PARK/LEAVE ON PRIVATE PROPERTY,13.0,43.7256702,-79.452168,3401 Dufferin St North York ON M6A 2T9 Canada,30.0
1399938,2011,29,34 LENNOX ST,676,20280.0,PARK PROHIBITED TIME NO PERMIT,15.0,43.6633943,-79.41346039999999,34 Lennox St Toronto ON M6G 1J5 Canada,30.0
1521063,2011,355,300 BOROUGH DR,45,20250.0,PARK IN DISABLED NO PERMIT,15.0,43.7764253,-79.2585331,300 Borough Dr Toronto ON M1P 4P5 Canada,450.0
1226574,2011,5,180 BLOOR ST W,506,20240.0,PARK HWY PROHIBED TIME/DAY,12.0,43.66881,-79.3949978,180 Bloor St W Toronto ON M5S 1T6 Canada,40.0
1302513,2011,8,210 BLOOR ST W,337,20220.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.6685013,-79.3959679,210 Bloor St W Toronto ON M5S 1T8 Canada,60.0
1339110,2011,15,90 KIPPENDAVIE AVE,202,20200.0,PARK 3 M OF FIRE HYDRANT,17.0,43.6683146,-79.30411389999999,90 Kippendavie Ave Toronto ON M4L 3R5 Canada,100.0
1473886,2011,207,25 MUTUAL ST,672,20160.0,PARK FAIL TO DEP. FEE MACHINE,15.0,43.65432149999999,-79.374353,25 Mutual St Toronto ON M5B 2K1 Canada,30.0
1319571,2011,9,45 ST CLAIR AVE W,335,20100.0,STOP HWY PROHIBITED TIME/DAY,14.0,43.6874606,-79.39542209999999,45 St Clair Ave W Toronto ON M4V 0A2 Canada,60.0
1306673,2011,8,80 HAYDEN ST,335,20100.0,STAND SIGN HWY PRO TIMES/DAYS,12.0,43.67037550000001,-79.3818138,80 Hayden St Toronto ON M4Y 3C7 Canada,60.0
1501958,2011,250,10 ASHBRIDGES BAY PARK RD,191,20055.0,PARK IN PARK NOT IN DESIG AREA,18.0,43.6608174,-79.3139571,10 Ashbridges Bay Park Rd Toronto ON M4L 3W6 Canada,105.0
1379047,2011,29,18 BEVERLEY ST,667,20010.0,PARK PROHIBITED TIME NO PERMIT,1.0,43.6503947,-79.39261119999999,18 Beverley St Toronto ON M5T 3L2 Canada,30.0
1502166,2011,257,1 BRIMLEY RD S,190,19950.0,PARK CONTRARY POSTED CONDITION,17.0,43.719515,-79.2403094,1 Brimley Rd Toronto ON M1M 3H4 Canada,105.0
1482297,2011,207,LA PLANTE AVE,664,19920.0,PARK FAIL TO DEP. FEE MACHINE,15.0,43.7874775,-79.17356680000002,Plant Blvd Scarborough ON M1C 4Z6 Canada,30.0
1305976,2011,8,612 MARKHAM ST,332,19920.0,STAND SIGN HWY PRO TIMES/DAYS,15.0,43.6645116,-79.4124361,612 Markham St Toronto ON M6G 2L8 Canada,60.0
1320534,2011,9,505 UNIVERSITY AVE,331,19860.0,STOP HWY PROHIBITED TIME/DAY,15.0,43.6558353,-79.3881303,505 University Ave Toronto ON M5G Canada,60.0
1313874,2011,9,2 THELMA AVE,331,19860.0,STOP HWY PROHIBITED TIME/DAY,13.0,43.6897246,-79.4125426,2 Thelma Ave Toronto ON M4V 1X9 Canada,60.0
1502165,2011,257,1 BRIMLEY RD,189,19845.0,PARK CONTRARY POSTED CONDITION,12.0,43.719515,-79.2403094,1 Brimley Rd Toronto ON M1M 3H4 Canada,105.0
1190501,2011,3,103 THE QUEENSWAY,660,19800.0,PARK/LEAVE ON PRIVATE PROPERTY,4.0,43.6362926,-79.47046279999999,NXT 103 The Queensway Toronto ON M6S 5B3 Canada,30.0
1213032,2011,5,111 PETER ST,495,19800.0,PARK HWY PROHIBED TIME/DAY,14.0,43.647862,-79.39290290000001,111 Peter St Toronto ON M5V 2G9 Canada,40.0
1523229,2011,370,80 GOULD ST,329,19740.0,PARK VEHICLE IN CAR-SHARE AREA,16.0,43.6586788,-79.377167,Rogers Communications Centre 80 Gould St Toronto ON M5B 2M7 Canada,60.0
1197178,2011,3,25 THE WEST MALL,656,19680.0,PARK/LEAVE ON PRIVATE PROPERTY,15.0,43.6112889,-79.55686709999999,25 The West Mall Etobicoke ON M9C 1B8 Canada,30.0
1502803,2011,312,1501 YONGE ST,656,19680.0,PARKING MACH-NOT USED/NO FEE  ,14.0,43.6892313,-79.3943013,1501 Yonge St Toronto ON M4T 1Z2 Canada,30.0
1483741,2011,210,111 ELIZABETH ST,656,19680.0,PARK FAIL TO DISPLAY RECEIPT,16.0,43.6551126,-79.3848059,111 Elizabeth St Toronto ON M5G 1P7 Canada,30.0
1413760,2011,29,52 LENNOX ST,656,19680.0,PARK PROHIBITED TIME NO PERMIT,15.0,43.6634254,-79.4127551,52 Lennox St Toronto ON M6G 2P2 Canada,30.0
1250376,2011,5,39 HAYDEN ST,490,19600.0,PARK HWY PROHIBED TIME/DAY,14.0,43.66976589999999,-79.3843974,39 Hayden St Toronto ON M4Y 2P2 Canada,40.0
1332970,2011,15,186 SPADINA AVE,196,19600.0,PARK 3 M OF FIRE HYDRANT,15.0,43.6497875,-79.3970569,186 Spadina Ave Toronto ON M5T 3B2 Canada,100.0
1363210,2011,29,105 SUNNYSIDE AVE,651,19530.0,PARK PROHIBITED TIME NO PERMIT,13.0,43.6410545,-79.4490016,105 Sunnyside Ave Toronto ON M6R 2P1 Canada,30.0
1245947,2011,5,33 VICTORIA ST,488,19520.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6500575,-79.3768261,33 Victoria St Toronto ON M5C Canada,40.0
1517148,2011,347,1000 GERRARD ST E,78,19500.0,PARK IN A FIRE ROUTE,13.0,43.6694757,-79.3389431,1000 Gerrard St E Toronto ON M4M 1Z3 Canada,250.0
1519173,2011,347,40 FOUNTAINHEAD RD,78,19500.0,PARK IN A FIRE ROUTE,13.0,43.7625994,-79.50421589999999,40 Fountainhead Rd North York ON M3J 2V1 Canada,250.0
1198489,2011,3,3 EVERSON DR,648,19440.0,PARK/LEAVE ON PRIVATE PROPERTY,4.0,43.757153,-79.4065529,3 Everson Dr North York ON M2N 7C2 Canada,30.0
1316765,2011,9,285 VICTORIA ST,323,19380.0,STOP HWY PROHIBITED TIME/DAY,14.0,43.6569215,-79.37951699999999,285 Victoria St Toronto ON M5B 1W1 Canada,60.0
1305258,2011,8,4950 YONGE ST,322,19320.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.7648382,-79.41270899999999,4950 Yonge St Toronto ON M2N 6K1 Canada,60.0
1200952,2011,3,40 FALSTAFF AVE,643,19290.0,PARK/LEAVE ON PRIVATE PROPERTY,10.0,43.7165522,-79.5044056,40 Falstaff Ave North York ON M6L 2E1 Canada,30.0
1192732,2011,3,15 FORT YORK BLVD,643,19290.0,PARK/LEAVE ON PRIVATE PROPERTY,15.0,43.6400559,-79.39396740000001,15 Fort York Blvd Toronto ON M5V 3Y4 Canada,30.0
1472874,2011,207,214 KING ST W,640,19200.0,PARK FAIL TO DEP. FEE MACHINE,19.0,43.6475369,-79.3868705,214 King St W Toronto ON M5H 3S6 Canada,30.0
1229340,2011,5,2 EDWARD ST,480,19200.0,PARK HWY PROHIBED TIME/DAY,15.0,43.6569765,-79.381557,2 Edward St Toronto ON M5G 1C9 Canada,40.0
1398957,2011,29,33 HILLSDALE AVE W,638,19140.0,PARK PROHIBITED TIME NO PERMIT,14.0,43.7029158,-79.3986042,33 Hillsdale Ave W Toronto ON M5P 1E9 Canada,30.0
1190039,2011,3,10 HUMBERLINE DR,634,19020.0,PARK/LEAVE ON PRIVATE PROPERTY,11.0,43.7316221,-79.61167019999999,10 Humberline Dr Etobicoke ON M9W Canada,30.0
1517322,2011,347,12 HARRISON GARDEN BLVD,76,19000.0,PARK IN A FIRE ROUTE,14.0,43.7577838,-79.4086384,12 Harrison Garden Blvd North York ON M2N 7C1 Canada,250.0
1501694,2011,210,LA PLANTE AVE,632,18960.0,PARK FAIL TO DISPLAY RECEIPT,13.0,43.7874775,-79.17356680000002,Plant Blvd Scarborough ON M1C 4Z6 Canada,30.0
1306073,2011,8,65 BREMNER BLVD,316,18960.0,STAND SIGN HWY PRO TIMES/DAYS,13.0,43.6428614,-79.380732,65 Bremner Blvd Toronto ON M5J 0A7 Canada,60.0
1259177,2011,5,505 UNIVERSITY AVE,474,18960.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6558353,-79.3881303,505 University Ave Toronto ON M5G Canada,40.0
1210107,2011,5,101 ELM ST,473,18920.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6565964,-79.38723139999999,101 Elm St Toronto ON M5G 1G6 Canada,40.0
1523165,2011,369,40 ASQUITH AVE,42,18900.0,STAND STR DISABL LDG NO DROPOF,13.0,43.671974,-79.38507349999999,40 Asquith Ave Toronto ON M4W 3W7 Canada,450.0
1523037,2011,367,55 JOHN ST,42,18900.0,STAND ON-ST DISABL LDG NO PRMT,14.0,43.6460427,-79.3887142,Metro Hall 55 John St Toronto ON M5V 3C6 Canada,450.0
1485974,2011,210,15 DEVONSHIRE PL,630,18900.0,PARK FAIL TO DISPLAY RECEIPT,15.0,43.6655774,-79.3973432,15 Devonshire Pl Toronto ON M5S 2C8 Canada,30.0
1497037,2011,210,55 CENTRE AVE,629,18870.0,PARK FAIL TO DISPLAY RECEIPT,16.0,43.6545873,-79.38665569999999,55 Centre Ave Toronto ON M5G 2H5 Canada,30.0
1318917,2011,9,40 ST CLAIR AVE E,313,18780.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.688598,-79.3924335,40 St Clair Ave E Toronto ON M4T 1M9 Canada,60.0
1503345,2011,312,55 MILL ST,626,18780.0,PARKING MACH-NOT USED/NO FEE  ,14.0,43.6503361,-79.3598201,55 Mill St Toronto ON M5A 3C4 Canada,30.0
1302302,2011,8,20 HOLLY ST,313,18780.0,STAND SIGN HWY PRO TIMES/DAYS,13.0,43.70493219999999,-79.39646359999999,20 Holly St Toronto ON M4S 3B1 Canada,60.0
1313172,2011,9,1867 YONGE ST,313,18780.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.6972446,-79.39593099999999,1867 Yonge St Toronto ON M4S 1Y5 Canada,60.0
1291152,2011,6,339 ASSINIBOINE RD,626,18780.0,PARK-HWY EXCESS PERMTD TIME,14.0,43.7680827,-79.50199210000001,339 Assiniboine Rd North York ON M3J 0B2 Canada,30.0
1383134,2011,29,20 STEWART ST,625,18750.0,PARK PROHIBITED TIME NO PERMIT,1.0,43.6438016,-79.4004823,20 Stewart St Toronto ON M5V 1H6 Canada,30.0
1398207,2011,29,32 STEWART ST,625,18750.0,PARK PROHIBITED TIME NO PERMIT,1.0,43.643567,-79.401032,32 Stewart St Toronto ON M5V 1H6 Canada,30.0
1476826,2011,207,40 GERRARD ST E,625,18750.0,PARK FAIL TO DEP. FEE MACHINE,17.0,43.6598291,-79.38036869999999,40 Gerrard St E Toronto ON M5B 2M2 Canada,30.0
1384661,2011,29,21 SACKVILLE ST,624,18720.0,PARK PROHIBITED TIME NO PERMIT,1.0,43.653963,-79.3597516,21 Sackville St Toronto ON M5A 1L9 Canada,30.0
1309696,2011,9,1200 BAY ST,311,18660.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.6700032,-79.3898095,1200 Bay St Toronto ON M5R 2A5 Canada,60.0
1305408,2011,8,508 EGLINTON AVE W,311,18660.0,STAND SIGN HWY PRO TIMES/DAYS,14.0,43.7036791,-79.4135165,508 Eglinton Ave W Toronto ON M5N 1A5 Canada,60.0
1468810,2011,207,111 ELIZABETH ST,622,18660.0,PARK FAIL TO DEP. FEE MACHINE,17.0,43.6551126,-79.3848059,111 Elizabeth St Toronto ON M5G 1P7 Canada,30.0
1300014,2011,8,10 ROSEHILL AVE,310,18600.0,STAND SIGN HWY PRO TIMES/DAYS,12.0,43.6865324,-79.3927159,10 Rosehill Ave Toronto ON M4T 1G5 Canada,60.0
1325281,2011,9,90 EGLINTON AVE E,310,18600.0,STOP HWY PROHIBITED TIME/DAY,12.0,43.7071961,-79.39625649999999,90 Eglinton Ave E Toronto ON M4P 1A6 Canada,60.0
1230455,2011,5,20 RICHMOND ST E,463,18520.0,PARK HWY PROHIBED TIME/DAY,12.0,43.6519933,-79.37825079999999,20 Richmond St E Toronto ON M5C 2R9 Canada,40.0
1319990,2011,9,481 UNIVERSITY AVE,308,18480.0,STOP HWY PROHIBITED TIME/DAY,15.0,43.6552395,-79.3879075,481 University Ave Toronto ON M5G 2P1 Canada,60.0
1306284,2011,8,7 HILLTOP RD,308,18480.0,STAND SIGN HWY PRO TIMES/DAYS,12.0,43.7006026,-79.4275802,7 Hilltop Rd Toronto ON M6C Canada,60.0
1523042,2011,367,60 MURRAY ST,41,18450.0,STAND ON-ST DISABL LDG NO PRMT,13.0,43.65807090000001,-79.39175949999999,60 Murray St Toronto ON M5T 3H7 Canada,450.0
1279606,2011,5,COURT ST,461,18440.0,PARK HWY PROHIBED TIME/DAY,13.0,43.6502826,-79.3753845,Court St Toronto ON M5C Canada,40.0
1219089,2011,5,14 ELGIN AVE,460,18400.0,PARK HWY PROHIBED TIME/DAY,15.0,43.6718939,-79.39628619999999,14 Elgin Ave Toronto ON M5R 1G6 Canada,40.0
